Aakash,Deshmukh,116144,LM!YHb,72,18,aaravpunia@gmail.com,11-01-2004,160000
Jaideep,Soman,124520,e9#E5B,28,0,shaanmishra@gmail.com,21-05-2006,250000
Gauri,Khan,134231,x98nwf,38,39,shaanmishra@gmail.com,21-05-2006,250000
Madhav,Pinto,149758,@F2WgF,87,33,advaitsingh@gmail.com,10-10-2004,300000
Kaushik,Kumar,151037,5imx91,57,0,veerrana@gmail.com,06-11-2006,7500000
Yashika,Verma,160455,N1WAAV,21,0,myrathakur@gmail.com,20-11-2006,45000
Eesha,Chakraborty,162218,cNnZE7,24,0,arjunmalhotra@gmail.com,18-04-2005,5700000
Aadhya,Singhvi,162578,PEALiQ,64,0,myrathakur@gmail.com,20-11-2006,45000
Avani,Verma,169090,qwerty,1,3,ria.g@gmail.com,05-12-2004,450000
Aparna,Mallick,199498,EG#pFF,93,0,kavya1d@gmail.com,09-09-2004,4000000
Nirav,Khanna,199891,V@fHzk,58,0,kavya1d@gmail.com,09-09-2004,4000000
Lakshya,Saxena,214761,xp8QuJ,39,25,rohanverma@gmail.com,01-04-2004,3500000
Ujala,Mehta,223484,h9X8V#,45,0,eshaagnes@gmail.com,14-12-2005,35000
Darshini,Naidu,259106,IFdcYK,86,0,diyachatterjee@gmail.com,25-03-2005,10000000
Priya,Pathak,263407,J5JIvV,79,26,rohankumar@gmail.com,06-04-2006,530000
Deepika,Prasad,271444,$sDJpt,52,36,anikamalhotra@gmail.com,31-08-2005,30000000
Ishaan,Mehra,289026,3JBJJ0,6,34,ishanpandey@gmail.com,21-11-2006,2200000
Nikhil,Singhania,301561,js&j2x,76,8,arjunmalhotra@gmail.com,18-04-2005,5700000
Sheetal,Mishra,305471,wRZaTA,100,0,kavya1d@gmail.com,09-09-2004,4000000
Saanvi,Jha,307056,OMSNHA,13,40,saanvi32s@gmail.com,25-11-2006,35000
Kavya,Shukla,316358,@ELpf1,43,32,nandinisharma@gmail.com,25-01-2004,200000
Nandini,Dev,317111,gsjAEF,53,0,rohanverma@gmail.com,01-04-2004,3500000
Hansika,Roy,332970,3X8jrZ,3,0,eshaagnes@gmail.com,14-12-2005,35000
Zayn,Malik,335765,GigiH7,35,0,saanvi32s@gmail.com,25-11-2006,35000
Ankit,Krishna,353244,dFDL97,34,0,rohanverma@gmail.com,01-04-2004,3500000
Daksh,Kapoor,365637,f#$b&2,88,0,aryanreddy@gmail.com,13-03-2005,600000
Farhan,Rao,371680,al&dM8,46,7,rohankumar@gmail.com,06-04-2006,530000
Nisha,Kapoor,385968,fOsKab,7,12,anikamalhotra@gmail.com,31-08-2005,30000000
Parul,Pande,389010,Ju@aO7,71,0,aryanreddy@gmail.com,13-03-2005,600000
Omkar,Kumar,390364,MnjzvK,90,2,vidishadesai@gmail.com,10-10-2005,210000
